x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.735,23.25,1.373,-0.0012474,-0.000654527,-0.00124721,0.000360054,3.52819e-06,5.57856e-06,-0.588049,0.160918,0.160614,0.160614,-0.593818,0.554693,0.00543546,0.00576898,0.0157497,-0.000304032
0.735,23.35,1.0601,-0.00125322,-0.00149322,-0.00125302,0.00040976,3.54465e-06,5.60458e-06,0.564727,0.160908,0.160605,0.160605,0.554405,0.628463,0.00543655,0.010322,0.0157753,-0.000302506
0.735,23.45,2.0696,-0.00125904,-0.00123768,-0.00125884,0.000293265,3.5611e-06,5.63059e-06,0.128544,0.160897,0.160596,0.160596,0.120097,0.447801,0.00543762,0.00844713,0.0158007,-0.000300998
0.735,23.55,1.8779,-0.00126485,-0.00124917,-0.00126466,0.00030787,3.57755e-06,5.6566e-06,0.137178,0.160887,0.160588,0.160588,0.128694,0.468031,0.00543868,0.00848416,0.0158257,-0.000299509
0.735,23.65,1.7189,-0.00127067,-0.00125565,-0.00127047,0.000321794,3.59399e-06,5.6826e-06,0.138265,0.160877,0.160579,0.160579,0.129775,0.487055,0.00543973,0.00849028,0.0158504,-0.000298038
0.735,23.75,0.8735,-0.00127648,-0.000878962,-0.00127628,0.00045141,3.61043e-06,5.70859e-06,-0.362785,0.160867,0.16057,0.16057,-0.369347,0.680256,0.00544076,0.00656169,0.0158749,-0.000296586
0.735,23.85,1.3757,-0.00128229,-0.00138259,-0.00128209,0.000359701,3.62686e-06,5.73458e-06,0.316995,0.160857,0.160562,0.160562,0.307753,0.539698,0.00544178,0.00924225,0.015899,-0.000295152
0.735,23.95,1.5032,-0.0012881,-0.00131301,-0.0012879,0.000344108,3.64329e-06,5.76055e-06,0.1984,0.160847,0.160553,0.160553,0.189656,0.514069,0.00544279,0.00874359,0.0159228,-0.000293737
0.735,24.05,1.4547,-0.00129391,-0.000646842,-0.00129371,0.000349797,3.65972e-06,5.78652e-06,-0.620841,0.160837,0.160545,0.160545,-0.626508,0.520319,0.00544378,0.00566758,0.0159462,-0.000292342
0.735,24.15,1.4072,-0.00129971,-0.00141938,-0.00129951,0.000355652,3.67613e-06,5.81248e-06,0.345959,0.160827,0.160536,0.160536,0.336587,0.526759,0.00544476,0.0093718,0.0159694,-0.000290965
0.735,24.25,1.3127,-0.00130551,-0.00175036,-0.00130532,0.000368231,3.69254e-06,5.83843e-06,0.939675,0.160818,0.160528,0.160528,0.927569,0.543063,0.00544572,0.012106,0.0159923,-0.000289608
0.735,24.35,1.2134,-0.00131131,-0.00122497,-0.00131111,0.000383002,3.70895e-06,5.86436e-06,0.0377589,0.160808,0.16052,0.16052,0.029665,0.562447,0.00544667,0.00809385,0.0160148,-0.000288271
0.735,24.45,1.5208,-0.00131711,-0.00130375,-0.00131691,0.000342111,3.72535e-06,5.89029e-06,0.141352,0.160798,0.160512,0.160512,0.132837,0.500272,0.00544761,0.00851556,0.016037,-0.000286953
0.735,24.55,1.4265,-0.0013229,-0.00118922,-0.00132271,0.000353238,3.74173e-06,5.9162e-06,-0.0251676,0.160789,0.160503,0.160503,-0.0330141,0.514368,0.00544853,0.00784653,0.0160589,-0.000285655
0.735,24.65,1.0583,-0.00132869,-0.00131211,-0.0013285,0.000410108,3.75812e-06,5.9421e-06,0.136874,0.16078,0.160495,0.160495,0.128374,0.594676,0.00544944,0.0085001,0.0160804,-0.000284376
0.735,24.75,1.2678,-0.00133448,-0.00110063,-0.00133429,0.000374695,3.77449e-06,5.96799e-06,-0.15157,0.16077,0.160487,0.160487,-0.158928,0.541057,0.00545034,0.00735838,0.0161016,-0.000283118
